Category,category_id,Subcategory,subcateogory_id,amount,year
議会費,1,議会費,1.1,424647000,2014
総務費,2,総務管理費,2.1,3750926000,2014
総務費,2,徴税費,2.2,654990000,2014
総務費,2,戸籍住民基本台帳費,2.3,266382000,2014
総務費,2,選挙費,2.4,49443000,2014
総務費,2,統計調査費,2.5,24281000,2014
総務費,2,監査委員費,2.6,22512000,2014
民生費,3,社会福祉費,3.1,11855783000,2014
民生費,3,児童福祉費,3.2,11697402000,2014
民生費,3,生活保護費,3.3,3930501000,2014
民生費,3,災害救助費,3.4,1000,2014
衛生費,4,保健衛生費,4.1,1624072000,2014
衛生費,4,清掃費,4.2,2746174000,2014
衛生費,4,病院費,4.3,849000000,2014
労働費,5,労働諸費,5.1,62023000,2014
農業費,6,農業費,6.1,98835000,2014
商工費,7,商工費,7.1,339256000,2014
土木費,8,土木管理費,8.1,204132000,2014
土木費,8,道路橋梁費,8.2,525930000,2014
土木費,8,河川費,8.3,205187000,2014
土木費,8,都市計画費,8.4,3965129000,2014
土木費,8,住宅費,8.5,128012000,2014
消防費,9,消防費,9.1,2489477000,2014
教育費,10,教育総務費,10.1,1367128000,2014
教育費,10,小学校費,10.2,1683822000,2014
教育費,10,中学校費,10.3,1063436000,2014
教育費,10,幼稚園費,10.4,635178000,2014
教育費,10,社会教育費,10.5,1065330000,2014
教育費,10,体育費,10.6,207256000,2014
公債費,11,公債費,11.1,3173755000,2014
公営企業費,12,公営企業費,12.1,130000000,2014
予備費,13,予備費,13.1,30000000,2014